,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ETC-USD,0.05686913860993632,11.0
1,XTZ-USD,LINK-USD,0.1615807215915403,7.0
2,XTZ-USD,BCH-USD,0.008947975860195698,13.0
3,XTZ-USD,ZRX-USD,4.57477019104249,22.0
4,XTZ-USD,XLM-USD,13.320454248410186,22.0
5,XTZ-USD,ADA-USD,3.2977083876935023,10.0
6,XTZ-USD,UMA-USD,0.5437033760554627,9.0
7,XTZ-USD,SOL-USD,0.053736275290970144,18.0
8,XTZ-USD,DOGE-USD,14.79489138124734,15.0
9,XTZ-USD,AVAX-USD,0.06754952242675105,13.0
10,ICP-USD,ZEC-USD,0.13998427813862968,23.0
11,ICP-USD,NEAR-USD,2.6553182538063513,7.0
12,ICP-USD,ALGO-USD,24.41413024383641,10.0
13,ICP-USD,SUSHI-USD,4.524914726545623,11.0
14,ICP-USD,ADA-USD,16.35904951865546,23.0
15,ICP-USD,DOT-USD,0.9154671063908025,19.0
16,ICP-USD,1INCH-USD,10.542069967541698,9.0
17,ETC-USD,LINK-USD,2.840523717095223,11.0
18,ETC-USD,ZRX-USD,80.46408126384519,18.0
19,ETC-USD,UMA-USD,9.56078891849777,4.0
20,ETC-USD,AAVE-USD,0.25912434435916665,16.0
21,ZEC-USD,FIL-USD,6.365126122779165,12.0
22,ZEC-USD,ZRX-USD,162.27052415929649,9.0
23,ZEC-USD,ALGO-USD,174.32287661883242,12.0
24,LINK-USD,BCH-USD,0.055376615056856746,9.0
25,LINK-USD,ZRX-USD,28.308692724728935,23.0
26,LINK-USD,TRX-USD,104.9038646246526,12.0
27,LINK-USD,SUSHI-USD,5.641813616904747,11.0
28,LINK-USD,ADA-USD,20.40739918112046,9.0
29,LINK-USD,UMA-USD,3.364548705520245,9.0
30,LINK-USD,BTC-USD,0.00031049844729919956,13.0
31,LINK-USD,DOGE-USD,91.56127470968337,9.0
32,LINK-USD,AAVE-USD,0.09121649956026895,5.0
33,ATOM-USD,BCH-USD,0.09605663113354465,15.0
34,ATOM-USD,SUSHI-USD,9.785583306749675,16.0
35,ATOM-USD,UMA-USD,5.835477876208427,15.0
36,ATOM-USD,DOT-USD,1.9804651011220673,13.0
37,ATOM-USD,MATIC-USD,10.35886987002846,12.0
38,ATOM-USD,AVAX-USD,0.7250166670334781,20.0
39,BCH-USD,SUSHI-USD,101.85719659671027,11.0
40,BCH-USD,UMA-USD,60.75358995540217,8.0
41,BCH-USD,DOT-USD,20.613686682352174,11.0
42,BCH-USD,SOL-USD,6.003807173448138,23.0
43,BCH-USD,MATIC-USD,107.81808622867231,9.0
44,BCH-USD,AVAX-USD,7.546530071548808,16.0
45,ENJ-USD,RUNE-USD,0.29031194657491466,15.0
46,ENJ-USD,ZRX-USD,1.7687981145588705,10.0
47,ENJ-USD,COMP-USD,0.009351305580018102,12.0
48,ENJ-USD,ALGO-USD,1.900427848861933,8.0
49,ENJ-USD,UMA-USD,0.20995858985366098,16.0
50,ENJ-USD,1INCH-USD,0.820544234624111,10.0
51,RUNE-USD,FIL-USD,0.2389644895907133,8.0
52,RUNE-USD,ZRX-USD,6.092649736004932,8.0
53,RUNE-USD,COMP-USD,0.03220798383690583,8.0
54,FIL-USD,ZRX-USD,25.482343143623318,7.0
55,FIL-USD,TRX-USD,94.20499766946998,20.0
56,FIL-USD,COMP-USD,0.13467825089009555,12.0
57,FIL-USD,ALGO-USD,27.369659208829983,9.0
58,FIL-USD,UMA-USD,3.02408933243504,11.0
59,FIL-USD,DOGE-USD,82.28403779781213,15.0
60,FIL-USD,LTC-USD,0.07124853495682415,12.0
61,FIL-USD,AAVE-USD,0.08195055908919,23.0
62,FIL-USD,1INCH-USD,11.817472625340159,11.0
63,ZRX-USD,COMP-USD,0.005279274517701847,9.0
64,ZRX-USD,ALGO-USD,1.072793151346375,9.0
65,ZRX-USD,SUSHI-USD,0.19871353644579595,14.0
66,ZRX-USD,1INCH-USD,0.46319759907900954,9.0
67,TRX-USD,BTC-USD,2.958758062280773e-06,13.0
68,TRX-USD,AAVE-USD,0.000868950369643416,11.0
69,TRX-USD,UNI-USD,0.010535451280183662,10.0
70,COMP-USD,ALGO-USD,203.17482190563135,8.0
71,COMP-USD,UMA-USD,22.45297458809023,10.0
72,XLM-USD,SUSHI-USD,0.068368379331411,22.0
73,XLM-USD,MATIC-USD,0.07238189737361618,21.0
74,NEAR-USD,SUSHI-USD,1.7037106022601378,11.0
75,NEAR-USD,UMA-USD,1.0160938205426628,8.0
76,NEAR-USD,DOGE-USD,27.6456598483867,18.0
77,ALGO-USD,UMA-USD,0.11048246042779286,10.0
78,XMR-USD,ETH-USD,0.09411539461452786,19.0
79,SUSHI-USD,ADA-USD,3.615455219631905,13.0
80,SUSHI-USD,UMA-USD,0.5962148333786528,7.0
81,SUSHI-USD,BTC-USD,5.499197928488809e-05,22.0
82,SUSHI-USD,DOT-USD,0.20230107304185135,9.0
83,SUSHI-USD,SOL-USD,0.05892973674980001,12.0
84,SUSHI-USD,DOGE-USD,16.223530223582713,9.0
85,SUSHI-USD,AAVE-USD,0.01615984795203535,14.0
86,SUSHI-USD,MATIC-USD,1.0581748766410457,9.0
87,SUSHI-USD,1INCH-USD,2.3288015972303855,19.0
88,SUSHI-USD,AVAX-USD,0.0740739296959403,6.0
89,ADA-USD,UMA-USD,0.16482472625012268,13.0
90,ADA-USD,DOT-USD,0.055938460031097516,7.0
91,ADA-USD,MATIC-USD,0.29256030214315076,10.0
92,UMA-USD,SOL-USD,0.09881884753536359,7.0
93,UMA-USD,DOGE-USD,27.20461692620134,5.0
94,UMA-USD,AAVE-USD,0.027095634638826718,11.0
95,UMA-USD,1INCH-USD,3.904585793309991,12.0
96,BTC-USD,AAVE-USD,293.66182722918336,16.0
97,DOT-USD,MATIC-USD,5.2299138093058755,8.0
98,CRV-USD,DOGE-USD,12.51835511172602,17.0
99,DOGE-USD,AAVE-USD,0.0009960022425156978,14.0
100,MATIC-USD,AVAX-USD,0.06998902568444111,10.0
